X,Y,FID,OBJECTID,RANK,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,SOURCE,PRC,COUNTYFIPS,COMMENTS,WEBSITE,PROFIT
-87.87666,42.16412,245,245,487,ESSENDANT,1 PARKWAY NORTH BOULEVARD,SUITE 100,DEERFIELD,IL,60015,LAKE,6600,5369,42.16412,-87.87666,BING MAPS,ADDRESS,17097,NOT AVAILABLE,HTTPS://WWW.ESSENDANT.COM/,63.9
-87.87935,42.16287,246,246,109,MONDELEZ INTERNATIONAL,3 PARKWAY NORTH,SUITE 300,DEERFIELD,IL,60015,LAKE,90000,25923,42.16287,-87.87935,BING MAPS,ADDRESS,17097,NOT AVAILABLE,HTTPS://WWW.MONDELEZINTERNATIONAL.COM/,1659
-87.86746,42.1552,247,247,17,WALGREENS BOOTS ALLIANCE,108 WILMOT ROAD,NOT AVAILABLE,DEERFIELD,IL,60015,LAKE,300000,117351,42.1552,-87.86746,BING MAPS,ADDRESS,17097,NOT AVAILABLE,HTTP://WWW.WALGREENSBOOTSALLIANCE.COM/,4173
-87.89465,42.24325,248,248,450,PACKAGING CORP. OF AMERICA,1955 WEST FIELD COURT,NOT AVAILABLE,LAKE FOREST,IL,60045,LAKE,14000,5779,42.24325,-87.89465,BING MAPS,ADDRESS,17097,NOT AVAILABLE,HTTPS://WWW.PACKAGINGCORP.COM/,449.6
-87.89968,42.24862,249,249,322,TENNECO,500 NORTH FIELD DRIVE,NOT AVAILABLE,LAKE FOREST,IL,60045,LAKE,31000,8599,42.24862,-87.89968,BING MAPS,ADDRESS,17097,NOT AVAILABLE,HTTP://WWW.TENNECO.COM/,363
-87.91151,42.23856,250,250,282,W.W. GRAINGER,100 GRAINGER PARKWAY,NOT AVAILABLE,LAKE FOREST,IL,60045,LAKE,25000,10137,42.23856,-87.91151,BING MAPS,ADDRESS,17097,NOT AVAILABLE,HTTPS://WWW.GRAINGER.COM/,605.9
-87.94421,42.22831,251,251,199,CDW,200 NORTH MILWAUKEE AVENUE,NOT AVAILABLE,VERNON HILLS,IL,60061,LAKE,8516,13982,42.22831,-87.94421,BING MAPS,ADDRESS,17097,NOT AVAILABLE,HTTPS://WWW.CDW.COM/,424.4
-81.80972,26.41844,252,252,296,HERTZ GLOBAL HOLDINGS,8501 WILLIAMS ROAD,NOT AVAILABLE,ESTERO,FL,33928,LEE,36000,9480,26.41844,-81.80972,BING MAPS,ADDRESS,12071,NOT AVAILABLE,HTTPS://IR.HERTZ.COM/,-491
-75.47591,40.60152,253,253,365,PPL,2 NORTH 9TH STREET,NOT AVAILABLE,ALLENTOWN,PA,18101,LEHIGH,12689,7517,40.60152,-75.47591,BING MAPS,ADDRESS,42077,NOT AVAILABLE,HTTPS://WWW.PPLWEB.COM/,1902
-75.59747,40.55074,254,254,294,AIR PRODUCTS & CHEMICALS,7201 HAMILTON BOULEVARD,NOT AVAILABLE,ALLENTOWN,PA,18195,LEHIGH,18450,9524,40.55074,-75.59747,BING MAPS,ADDRESS,42077,NOT AVAILABLE,HTTP://WWW.AIRPRODUCTS.COM/,631.1
-91.64372,42.03147,255,255,492,ROCKWELL COLLINS,400 COLLINS ROAD NE,NOT AVAILABLE,CEDAR RAPIDS,IA,52498,LINN,19000,5259,42.03147,-91.64372,BING MAPS,ADDRESS,19113,NOT AVAILABLE,HTTPS://WWW.ROCKWELLCOLLINS.COM/,728
-118.48518,34.00131,256,256,135,ABBOTT LABORATORIES,100 ABBOTT PARK ROAD,NOT AVAILABLE,SANTA MONICA,CA,90401,LOS ANGELES,75000,20853,34.00131,-118.48518,BING MAPS,ADDRESS,06037,NOT AVAILABLE,HTTP://WWW.ABBOTT.COM/,1400
-118.602327,34.185167,257,257,222,FARMERS INSURANCE EXCHANGE,6303 OWENSMOUTH AVENUE,NOT AVAILABLE,LOS ANGELES,CA,90010,LOS ANGELES,13309,12513,34.185167,-118.602327,MANUAL,ON-ENTITY,06037,NOT AVAILABLE,HTTPS://WWW.FARMERS.COM/,-147.9
-118.44365,34.05937,258,258,278,OCCIDENTAL PETROLEUM,10889 WILSHIRE BOULEVARD,NOT AVAILABLE,LOS ANGELES,CA,90024,LOS ANGELES,11000,10398,34.05937,-118.44365,BING MAPS,ADDRESS,06037,NOT AVAILABLE,HTTP://WWW.OXY.COM/PAGES/DEFAULT.ASPX,-574
